업소명,위생등급제 가게,재방문률이 높은,최근에 자주가는,맛있는,가성비,깔끔하고 분위기가 좋은,신선한,친절한,혼밥,칠암동,가좌동
커피홀 신진주역점,,,,,,,,,,,1
컴포즈커피,,,,,,,,,,,1
컴포즈커피 진주역점,,1,,,,,,,,,1
컴포즈커피(COMPOSE COFFEE) 진주칠암점,,1,1,,,,,1,,1,
컴포즈커피(COMPOSE COFFEE)진주경상대정문점,,1,,,,,,1,,,1
코레일유통(주)다인경주빵진주역사점,,,,,,,,,,,1
코리안덕,,,,,,,,,,1,
코피치(COFFICH),,,,,,,,,,1,
콩글리쉬머핀카페(Konglish Muffin Cafe),,,,,,,,,,,1
콩시루콩나물국밥가호점,,,,,,,,,,,1
쿄다이,,,,,,,,,,1,
쿄우라멘,,,1,1,,1,,,,1,
크라우드PC 진주경상대점,,,,,,,,,,,1
크로스비(Cross'B),,,,,,1,,1,,1,
타마시,,,,,,,,,,,1
타코애,,,,,,,,,,,1
탕화쿵푸마라탕 가좌동점,,,,,,,,,,,1
태영생막창신진주역점,,,1,1,,,,,,,1
테일,,,,,,,,,,,1
텐퍼센트커피 진주가좌점,,,,,,,,,,,1
토크박스,,,,,,,,,,1,
통묵은지 감자탕,,,,,,,,,,,1
통큰돼지국밥,,,,1,,,,,,,1
통통김밥,,,,,,,,,,,
퇘장군,,,,,,,,,,,1
투다리 신진주역점,,,,,,,,,,,1
투모아꼬치구이전문점(강남점),,,,,,,,,,,
투썸플레이스(경상대점),1,1,1,,,,,,,,1
튀김나라,,,,,,,,,,1,
티디에이(TDA),,,,,,1,,,,,
티바두마리치킨가호점,,,,,,,,,,,1
파머스,,,,,,,,,,,1
팜스보드게임,,,1,,1,1,,1,,,1
팝준코,,,,,,,,,,,1
퍼시먼,,,,,,,,,,1,
펍큐진주본점,,,,,,,,,,,1
편백담 가좌점,,,1,1,1,1,,1,,,1
포에틱시너리,,,1,1,,1,,1,,,1
포차컵밥,,1,,,,,,,,,1
포케타임(POKE TIME),,,1,1,,1,,,,,1
퐁닭 진주1호점,,,,,,,,,,1,
퐁당,,,,,,,,,,,
푸라닭 진주가좌점,,,,,,,,,,,1
푸라닭 진주칠암점,,,,,,,,,,,
푸른고래포차,,,,,,,,,,,1
푸짐한밥상,,,,,,,,,,,
푸푸(PUPU),,,1,1,1,,,1,,1,
풍경민속주점,,,,,,,,,,,
풍년상회,,,,,,,,,,,1
풍미식당,,,,,,,,,,,
프라하,,1,,,,,,,,1,
프레커피,,,,,,,,,,1,
피씨락,,,,,,,,,,,1
피앙세뷔페,,,,,,,,,,1,
피자나라치킨공주가호점,,,,,,,,,,,1
피자마루경남과기대점,,,,,,,,,,1,
피자헛 진주경상대점,,,,,,,,,,,1
핑크빛청춘들,,,,,,,,,,,1
하남샘추어탕,,1,,,,,,,,1,
하동돈가스,,,1,1,,,,,,,1
하루,,,,,,,,,,,1
하삼동 개양점,,,,,,,,,,,1
하삼동칠암점,,1,,,,,,,,1,
하삼동커피신진주역점,1,,,,,,,,,,1
학생회관커피점(중앙카페),,,,,,,,,,,1
한국맥도날드(유)진주가좌DT점,1,,,,,,,,,,1
한라맥주 경상대점,,,,,,,,,,,1
한방재경장어,,,,,,,,,,,
한솥도시락경남과기대점,,1,,,,,,,,1,
한솥도시락진주경상대정문점,,1,,,,,,,,,1
한주반점,,,,,,,,,,1,
할매닭갈비,,,,,,,,,,,1
할멈국밥,,,,,,,,,,1,
합성동얼큰이(강남점),,,,,,,,,,,
합천돼지국밥,,,,,,,,,,,
해가,,,,,,,,,,1,
해동추어탕,,,,,,,,,,1,
해뜰날한식뷔페,,,,,,,,,,,1
해신궁,,,,,,,,,,1,
해오,,,,,,,,,,1,
해웅해물아구찜,,,1,,,1,,,,,1
허니탕후루,,,,,,,,,,,1
헤르메스,,,,,,,,,,,1
헤이브레드(Hey Bread),,,1,,,1,,,,,1
현이네,,,,,,,,,,,1
현주국수,,,,,,,,,,,
형제짬뽕,,,,,,,,,,1,
혜하당,,,,,,1,,,,,1
혜화동 돈까스극장 진주가좌점,,,,,,,,,,,1
호계,,,1,1,,1,1,1,1,,1
호동식당,,1,,,,,,,,,1
호맥경상대점,,,,,,,,,,,1
호상당,,,,,,,,,,,1
호식이두마리치킨,1,,,,,,,,,1,
호탄숯불구이,,,,,,,,,,,1
호호반점 진주경상대점,,,1,1,1,,,1,1,,1
홈리스타코,,,1,1,,1,,,,,1
홍대김밥,,,,,,,,,,,1
홍이네닭갈비,,,,,,,,,,,1
홍콩맥주,,,,,,,,,,1,
홍콩반점0410 진주경상대점,,,,,,,,,,,1
화양연화,,,,,,,,,,,1
화이트PC 경대점,,,,,,,,,,,1
타짜오리하우스,,,,,,,,,,1,
황토식당,,,,,,,,,,1,
회초랑,,,,,,,,,,1,
효주,,,,,,,,,,,1
후라이드참잘하는집,,,,,,,,,,,1
후라이드참잘하는집,,,,,,,,,,,
훗스테이크 경상대점,,,,1,1,1,,1,,,1
흐루(hru),,,1,1,,1,1,1,,1,
흑돈,,,,,,,,,,,
희망분식희망커피,,,,,,,,,,1,
히얼(here),,1,,,,,,,,1,
치킨유니,,,,,,,,,,,1
