업소명,위생등급제 가게,재방문률이 높은,최근에 자주가는,맛있는,가성비,깔끔하고 분위기가 좋은,신선한,친절한,혼밥,칠암동,가좌동
동아반점,,,,,,,,,,1,
동향,,,,,,,,,,,1
돼지랑순대랑,,,,,,,,,,,1
두레박칼국수,,,,,,,,,,,
두스두스(doucedouce),,1,,,,,,,,,1
뒷고기회관 가좌점,,,,,,,,,,,1
드링킹,,,,,,,,,,,1
등촌샤브칼국수 진주칠암점,,,,1,,,,,,1,
땡기는술집,,,,,,,,,,,
땡초닭비어,,,,,,,,,,1,
떙초김밥가좌호탄점,,,,,,,,,,,1
"떡볶이참잘하는집,떡참진주가호점",1,,,,,,,,,,1
똥꼬(과기대점),,,,,,,,,,1,
뚝섬아구찜,,,,,,,,,,1,
뚱보화로불고기 칠암점,,,,,,,,,,1,
라그릭(RaGreek),,,,,,,,,,1,
라노떼호프,,,,,,,,,,,
라니네디저트,,,,,,,,,,1,
라맛쿵부가좌점,,,,,,,,,,,1
라이,,,,,,,,,,,1
라잇틀리,,,,,,,1,,,,1
라쿵푸마라탕진주점,,,1,1,,,1,1,1,1,
라튤립,,,,,,,,,,,1
라화쿵부진주경상대점,1,,,,,,,,,,1
런던키친,,,,,,,,,,,1
레도커피(REDO COFFEE),,1,,1,,1,,1,,,1
레이지독(LAZY DOG),,,,1,,1,,,,1,
로뎀주스,,,,,,,,,,,1
로스터리카페뜰,,1,,,,,,,,,1
로우로우,,,1,1,,1,,1,,,1
롯데리아(경상대점),,1,1,,,,,,,,1
롯데리아산업대점,,,,,,,,,1,1,
루씨르,,1,,,,,,,,,1
리뷰PC카페,,,,,,,,,,1,
림메이크(rim:ake),,,,,,,,,,1,
마가리타,,,,,,,,,,,1
마라도횟집,,,,,,,,,,,
마라제국,,,,,,,,,,,1
마루축산식육식당,,,,,,,,,,1,
마망구떼,,,,,,,,,,1,
마왕족발진주경상대점,,,,,,,1,,,,1
마해아구찜,,,,,,,,,,,1
만나분식,,,,,,,,,,,1
만나원,,,,,,,,,,1,
만나찹쌀꽈배기,,,,,,,,,,1,
맘스터치 피자앤치킨 진주역점,,,,,,,,,,,1
맘스터치진주경상대점,,1,,,,,,,,,1
맘스터치진주과기대점,1,1,,,,,,,,1,
맛나국수,,,,,,,,,,,1
맛에취하는족발,,,,,,,,,,,1
맛이좋은집,,1,,,,1,,,,,
맛있는착한고기경상대점,,,1,1,1,,,1,,,1
맛있으면돼지,,,,,,,,,,,1
