rest,Rest_id,alone,date,delicious,fresh,goodValue,hygiene,kindness,many,mood,parking,recent
숯불구이돈,G261,1,0,21,7,5,0,4,12,2,2,3
스마트띠아모 시티점,G262,4,0,18,4,11,0,8,2,0,0,2
스시수,C140,0,0,0,0,0,0,0,0,0,0,0
스시하루,G263,21,0,85,37,27,0,33,0,0,0,0
스타벅스 경상대칠암캠퍼스점,C141,0,0,637,339,0,0,267,147,0,0,0
스타벅스 진주경상대점,G264,0,0,1918,0,0,0,401,0,0,0,383
스테이지 우산,C142,0,0,2178,0,0,0,518,0,0,0,271
스톡홀름샐러드 진주경상대점,G265,0,0,0,0,0,0,0,0,0,0,0
시마다,G266,0,0,0,0,0,0,0,0,0,0,0
시키라,G267,25,1,70,37,11,1,29,0,3,0,16
신 완뚝국밥,G268,30,0,94,17,12,38,54,1,35,0,31
신선횟집,G269,21,0,82,25,95,0,30,13,2,1,35
신전떡볶이 과기대점,C143,1,3,45,31,24,0,22,11,1,0,3
신전떡볶이 진주1호점,G270,30,0,159,24,63,0,53,0,0,0,0
신토불이식당,G271,30,0,100,14,52,0,26,3,1,3,11
신화불닭발 가호점,G272,2,0,9,3,3,0,5,3,1,0,0
실버카페더하모니 남부어린이도서관점,G273,1,0,33,10,18,0,10,0,0,0,0
써브웨이 진주경상대점,G274,0,0,0,0,0,0,0,0,0,0,0
써브웨이 진주경상대칠암캠퍼스점,C144,204,0,517,303,90,0,136,0,0,0,0
아마스빈 진주경상대점,G275,91,0,266,175,0,0,93,83,0,0,0
아몽즈커피 진주칠암점,C145,0,0,174,0,62,0,40,0,0,0,0
아버브런치앤커피,G276,0,0,108,0,47,0,51,0,0,0,0
아스라이 경상대점,G277,0,0,110,0,0,0,48,0,33,0,0
아싸요우 경상대점,G278,0,0,685,0,0,301,0,0,443,0,0
아웃닭 경상대점,G279,0,0,67,0,31,18,30,0,0,0,0
아웃백스테이크하우스 경남진주점,C146,0,0,255,63,103,0,84,0,68,0,0
아타토커피,C147,9,440,1188,209,275,56,875,384,129,195,279
안골집,G280,0,0,97,0,23,14,23,0,0,0,0
안녕 그루담,C148,0,0,0,0,0,0,0,0,0,0,0
안동선계찜닭 경상대점,G281,0,0,0,0,0,0,0,0,0,0,0
안주가 진주역점,G282,3,0,65,6,56,0,28,8,0,1,8
알로하스시 칠암점,C149,0,0,168,0,0,0,78,0,70,0,0
알통떡강정 진주가좌점,G283,0,0,977,593,324,0,323,0,337,0,0
야채오리,C150,1,0,13,2,14,0,6,0,0,1,1
양반의체면,C151,0,0,28,13,7,0,13,5,0,0,0
양자강,C152,0,0,8,0,0,0,0,7,2,0,0
양조별관 진주칠암점,C153,0,0,13,0,9,0,8,0,0,0,5
양철집 2호점,G284,0,0,378,0,0,0,143,0,131,0,0
양철집 경상대점,G285,0,0,0,0,0,0,0,0,0,0,0
어니언스치킨,G286,0,0,0,0,0,0,0,0,0,0,0
어머니와고등어,C154,0,0,38,9,35,0,9,0,0,0,0
어부수산,G287,1,0,13,0,4,0,3,0,0,0,0
언양닭칼국수 가호점,G288,0,0,0,0,0,0,0,0,0,0,0
엄마국수,C155,40,2,192,51,128,1,49,37,8,21,48
엄마손팥칼국수,G289,0,0,96,19,93,0,24,0,0,0,0
엄마추어탕,G290,8,1,30,10,16,0,21,0,2,1,4
에그드랍 진주경상대점,G291,3,1,30,8,13,0,8,0,1,2,8
에그드랍 진주칠암점,C156,0,0,0,0,0,0,0,0,0,0,0
엠스커피,C157,41,0,126,33,0,0,41,0,0,0,34
여민촌해물마차,G292,0,0,112,0,22,0,47,0,0,0,25
역전생갈비,G293,0,0,0,0,0,0,0,0,0,0,0
역전우동0410 경남진주역점,G294,0,0,0,0,0,0,0,0,0,0,0
역전할머니맥주 진주경상대점,G295,22,0,51,10,36,0,0,0,0,0,0
역전할머니맥주 진주과기대점,C158,0,0,65,0,58,0,18,0,0,0,0
역전할머니맥주 진주역점,G296,0,0,91,0,84,21,25,0,0,0,0
연놀부석쇠불고기정식,G297,0,0,17,0,14,0,15,0,0,0,0
연어가게,C159,2,2,24,2,31,0,12,4,0,2,4
연주네밥상,C160,0,0,8,0,0,0,2,0,2,0,0
연회집 칠암본점,C161,0,0,117,51,76,0,57,0,0,0,0
열정국밥,G298,18,11,1642,323,487,355,703,446,760,0,514
염천교식당,G299,0,0,0,0,0,0,0,0,0,0,0
영빈가든진주 본점,C162,0,0,0,0,0,0,0,0,0,0,0
옆구리 가호점,G300,0,0,42,0,9,0,19,18,0,0,0
예랑 다찌,G301,3,2,202,207,98,6,148,110,44,2,42
옛날솥뚜껑삼겹살 2호점,G302,0,4,56,41,48,0,20,22,3,1,9
옛날팥칼국수,C163,1,3,120,47,32,0,37,9,0,0,16
오꾸닭 산업대점,C164,0,0,0,0,0,0,0,0,0,0,0
오다가다 경상대점,G303,0,0,91,22,0,0,37,39,0,0,0
오데가든 진주칠암본점,C165,0,0,1642,917,498,0,776,0,0,0,0
오디티,G304,30,4,337,145,106,41,136,61,322,0,106
오래담,C166,0,0,291,0,5,35,93,16,196,0,58
오름 진주칠암본점,C167,0,0,0,0,0,0,0,0,0,0,0
오복이네,C168,0,51,765,359,226,227,385,95,614,6,277
오봉도시락 과학기술대점,C169,15,0,46,17,20,0,17,0,0,0,0
오봉집 진주가호점,G305,4,1,8,1,4,0,3,1,3,0,3
오븐에꾸운닭 호탄점,G306,3,0,39,12,18,0,14,13,6,1,15
오사장횟집,C170,1,0,61,12,13,1,20,26,3,0,7
오아시스,G307,1,4,43,31,23,0,11,6,2,0,6
오야 진주칠암본점,C171,0,0,0,0,0,0,0,0,0,0,0
오유 케이크,C172,3,2,321,18,66,83,143,56,222,0,80
오지버거 진주경상대점,G308,0,0,55,0,0,0,77,0,0,0,44
오코스 진주칠암본점,C173,35,0,109,37,31,0,0,36,0,0,0
옥천식당,C174,20,0,385,3,91,142,223,25,277,3,142
올라,C175,0,0,0,0,0,0,0,0,0,0,0
올키베이커리,C176,5,43,87,33,16,4,50,10,63,4,6
와바탭하우스 진주가호점,G309,0,0,299,0,0,0,92,0,21,0,53
와플대학 진주 경상대 캠퍼스,G310,0,0,78,0,10,14,27,16,10,3,16
와플칸 진주점,C177,0,0,343,0,75,0,119,0,0,0,0
왔따쪽갈비 진주점,G311,0,0,109,0,19,0,21,0,0,0,0
왕눈이실내포차 진주가좌점,G312,0,0,0,0,0,0,0,0,0,0,0
왕눈이실내포차 진주칠암점,C178,0,0,382,143,147,0,151,112,0,0,0
왕우동,C179,1,0,307,72,125,73,134,90,172,0,98
요거트아이스크림의정석 신진주역점,G313,0,0,0,0,0,0,0,0,0,0,0
요달의찜닭&내가닭도리탕이다 호탄점,G314,0,0,30,0,0,0,5,0,0,0,5
요브코,G315,0,0,0,0,0,0,0,0,0,0,0
요술쟁이 호탄점,G316,0,0,0,0,0,0,0,0,0,0,0
용우동 진주산업대점,C180,0,0,0,0,0,0,0,0,0,0,0
용팔이밀면,G317,107,0,256,0,208,0,77,0,0,0,0
우두두,C181,0,0,47,0,21,0,13,0,0,9,0
우리돼지나라 진주본점,G318,0,0,1613,0,0,0,545,0,0,0,0
우리돼지나라칠암점,C182,32,0,133,36,86,0,35,51,1,8,15
우리엄마식당,G319,10,0,45,0,23,0,27,0,0,0,0
우리집해장국,C183,3,0,25,2,13,0,17,1,1,0,0
우림돈까스,G320,0,0,0,0,0,0,0,0,0,0,0
우심방,C184,26,8,119,34,37,9,59,0,21,10,32
우이동불고기,C185,0,0,0,0,0,0,0,0,0,0,0
울엄마부대찌개,G321,14,0,42,0,33,0,28,0,0,0,0
웃어보이소,G322,0,0,53,23,40,0,27,0,0,0,0
원조뚝섬아구찜,C186,0,0,58,23,18,0,34,18,0,0,0
원주특수통닭 가좌동본점,G323,0,0,44,9,29,0,16,0,0,0,0
월하주,G324,0,0,27,15,6,0,9,0,0,0,8
유부네,G325,0,0,241,0,0,0,73,0,87,0,0
유성닭발 호탄점,G326,67,4,266,67,104,0,87,11,6,8,53
육식,G327,0,0,0,0,0,0,0,0,0,0,0
육칠이 가호점,G328,2,6,64,33,19,0,26,18,5,5,16
육프로,G329,0,0,0,0,0,0,0,0,0,0,0
육회덕후,G330,0,0,41,22,8,0,16,0,0,0,0
은성게장더크랩,C187,0,0,1211,817,315,0,484,0,536,0,0
은지네반점,C188,2,4,86,32,50,2,40,17,16,7,14
의령돼지국밥,C189,0,0,36,3,18,0,12,0,0,0,0
의령소바 신진주점,G331,0,0,19,6,8,0,8,0,0,0,8
이너웨이브커피,C190,16,0,85,31,51,1,34,20,1,9,21
이디야커피 경남과기대점,C191,0,0,158,0,0,31,44,0,0,0,0
이디야커피 신진주역점,G332,0,0,73,0,15,0,20,0,0,0,0
이디야커피 진주개양오거리점,G333,0,0,285,0,0,0,53,0,0,0,50
이디야커피 진주호탄동점,G334,0,0,51,0,9,21,21,0,4,3,19
이백장돈가스 칠암점,C192,0,0,769,0,72,136,291,4,27,14,117
이삭토스트 진주경남과기대점,C193,0,0,0,0,0,0,0,0,0,0,0
이서방짬뽕,G335,81,0,306,90,131,0,110,0,0,0,0
이온 촌놈집,G336,3,0,15,3,5,0,5,0,0,0,0
이정식당,C194,0,1,23,22,9,0,16,4,0,1,4
이추네,C195,0,0,21,10,16,0,8,0,0,0,0
인가베,G337,0,0,19,3,3,0,5,0,0,2,0
인생육회차,G338,0,0,10,0,2,2,4,0,2,1,4
인쌩맥주 진주역점,G339,0,0,0,0,0,0,0,0,0,0,0
인정후라이드 가호점,G340,0,0,11,0,10,10,14,0,0,0,8
일미횟집,C196,0,0,0,0,0,0,0,0,0,0,0
일품양평해장국 진주호탄점,G341,0,0,14,10,0,0,6,0,0,3,0
자연담은이야기,C197,29,0,82,53,54,1,31,17,18,1,22
자유품다,C198,0,0,17,0,0,4,5,0,3,2,2
잔향 진주칠암점,C199,0,0,0,0,0,0,0,0,0,0,0
장독대항아리보쌈,G342,0,0,480,9,101,147,199,107,326,0,107
장모님치킨 칠암점,C200,12,2,196,67,129,4,74,63,11,19,16
장미맨숀 진주경상대점,G343,0,0,0,0,0,0,0,0,0,0,0
저스트텐동 진주점,C201,0,0,50,0,16,0,9,11,0,0,0
전복해장국,G344,614,45,2403,1201,1254,111,1227,347,617,0,771
전주콩나루콩나물국밥 진주호탄점,G345,0,0,97,37,0,0,28,0,0,0,13
점이김밥전문,C202,30,0,152,39,85,1,78,20,6,34,12
정든밤,G346,0,0,18,0,0,0,9,0,10,0,0
정직유부 진주호탄점,G347,5,0,32,9,18,2,3,2,3,0,3
정촌쌈김치찌개 2호점,G348,0,0,41,17,28,0,16,0,0,0,0
제주목장원,C203,0,0,28,5,0,0,16,14,0,0,0
제주오겹살,G349,0,0,0,0,0,0,0,0,0,0,0
제주옥탑 진주역점,G350,0,0,248,231,0,0,226,0,119,0,0
조가비,G351,2,5,101,72,45,2,37,28,7,3,16
조문정국수집,C204,0,0,14,4,10,0,4,0,0,0,0
조선돼지국밥,C205,5,0,20,0,11,0,6,0,0,0,0
조커닭 진주본점,G352,0,0,928,0,810,0,0,422,370,0,0
족발깡패,C206,0,0,60,9,36,0,22,0,0,0,0
족발로만 진주 역세점,G353,0,0,0,0,0,0,0,0,0,0,0
족발신선생 가좌점,G354,0,0,184,57,93,0,64,0,0,0,0
존가네 경남진주점,C207,9,1,60,8,27,0,12,6,4,0,0
주가네흑돈,G355,4,2,64,17,37,0,22,5,0,1,5
주당,G356,0,0,27,0,38,11,12,7,3,0,6
주마당,C208,0,0,7,0,0,4,0,0,7,0,0
죽이야기 진주 칠암점,C209,9,0,25,6,9,0,13,0,0,0,0
줄라이세컨드,G357,0,0,0,0,0,0,0,0,0,0,0
줄리의주방,C210,0,0,0,0,0,0,0,0,0,0,0
지코바치킨 가좌점,G358,1,0,26,8,8,0,8,1,0,0,4
지코바치킨 신진주역점,G359,0,0,0,0,0,0,0,0,0,0,0
진가네,G360,174,4,642,340,478,11,165,135,74,13,140
진가옥 경상대직영점,G361,0,0,22,2,5,0,7,0,0,0,0
진남정 가좌점,G362,0,0,55,0,0,0,26,30,0,0,18
진미식당,G363,27,1,124,20,125,0,34,13,1,3,16
진성식당,C211,0,0,26,8,19,0,7,0,0,0,0
진주국밥 본점,C212,33,0,117,38,64,1,61,29,4,2,27
진주냉면 정미면옥,G364,0,0,108,52,50,0,0,37,36,0,0
진주돌솥밥,C213,0,0,30,6,7,0,9,7,0,0,0
진주돼지농장,G365,0,0,17,23,10,0,5,18,11,5,8
진주바틀샵,C214,16,0,6,0,12,0,31,0,0,0,0
진주양푼국수전문점,G366,0,0,118,28,72,0,35,0,0,0,0
진주역포차,G367,0,0,0,0,0,0,0,0,0,0,0
진주운석빵,G368,0,0,74,0,0,0,60,0,0,0,29
진주팥죽 칠암점,C215,7,0,31,7,11,0,9,0,0,0,0
집밥,C216,10,0,17,0,22,0,8,0,0,0,0
집밥먹고반찬사기,G369,0,0,0,0,0,0,0,0,0,0,0
징기스칸,G370,0,0,38,17,0,0,0,17,10,0,0
짬뽕공장,G371,0,0,133,23,59,0,24,0,0,0,0
쪼닭 진주 경상대점,G372,0,0,1134,365,1167,0,496,0,0,0,0
찐이야 숯불두마리치킨 진주칠암점,C217,0,0,0,0,0,0,0,0,0,0,0
차이브 진주본점,G373,0,26,1382,728,230,218,751,674,1156,61,511
착한술집,C218,0,0,8,0,6,0,0,0,6,0,0
찰보리호두과자전통차,C219,0,0,0,0,0,0,0,0,0,0,0
참붕어 어탕,G374,1,0,12,7,2,0,8,0,0,0,5
참장어가,G375,0,0,7,5,1,0,1,2,0,2,1
참치예찬,C220,0,0,32,21,12,0,16,0,0,0,0
창평돼지국밥,G376,10,0,31,0,34,0,12,0,0,0,0
찾고있는고기집,G377,1,1,53,25,17,0,36,22,0,0,12
처갓집양념치킨 가호점,G378,0,0,0,0,0,0,0,0,0,0,0
처프트,C221,11,88,1140,566,263,270,486,125,847,60,218
천년의비빔밥,C222,0,0,0,0,0,0,0,0,0,0,0
천마한식당,G379,0,0,0,0,0,0,0,0,0,0,0
천씨씨커피 과기대점,C223,0,0,0,0,0,0,0,0,0,0,0
청기와콩나물해장국,G380,4,0,13,6,12,0,7,0,0,0,2
청년다방 진주경상대점,G381,7,0,216,78,142,25,72,45,49,3,42
청년포차,G382,0,0,80,0,39,0,36,93,0,0,0
청년피자 진주점,G383,5,0,83,30,36,0,25,9,0,3,8
청량 진주가좌본점,G384,0,0,297,0,0,0,96,0,137,0,0
청암식당,C224,0,0,0,0,0,0,0,0,0,0,0
청월 진주칠암본점,C225,0,0,239,0,0,0,127,0,104,0,0
청춘밥상,G385,0,0,174,45,0,0,61,0,0,0,50
초가산장 진주본점,G386,0,0,1593,816,0,0,685,661,818,0,0
초원오리 진주본점,G387,0,0,393,268,0,0,120,222,133,0,0
춘남식당,G388,0,0,61,53,35,0,31,0,0,0,0
춤추는불닭발,G389,1,0,53,10,16,0,14,5,2,2,4
충무김밥 칠암점,C226,29,0,68,22,29,0,36,0,0,0,0
충청도식당,C227,0,0,0,0,0,0,0,0,0,0,0
치교치밥&치킨 칠암점,C228,0,0,0,0,0,0,0,0,0,0,0
치카라 진주칠암본점,C229,0,0,93,0,0,40,0,0,78,0,0
치킨과바람피자 경상대점,G390,0,0,64,0,20,0,34,0,0,0,0
칠남매감자탕,C230,0,0,21,3,15,0,5,0,0,0,0
칠성포차 칠암점,C231,0,0,50,0,23,0,0,18,0,0,0
칠암곰탕,C232,19,1,121,30,52,2,25,3,6,8,12
칠암상회,C233,0,0,0,0,0,0,0,0,0,0,0
칠암장어구이꼼장어,C234,0,0,13,6,3,0,0,2,0,0,0
카르페디엠J,C235,0,0,0,0,0,0,0,0,0,0,0
카메토리,C236,9,10,180,119,10,89,104,4,122,0,60
카시강,C237,2,34,144,23,39,4,51,62,103,14,30
카코이,G391,0,0,0,0,0,0,0,0,0,0,0
카페 502,G392,0,0,224,0,13,38,45,0,85,3,21
카페 9월생,C238,0,0,42,0,4,21,20,0,11,0,12
카페 가가,G393,0,0,25,0,0,0,8,0,2,0,0
카페 와이와이와이,G394,0,0,285,0,0,44,61,1,226,2,54
카페ING 경상대점,C239,0,0,0,0,0,0,0,0,0,0,0
카페드무위,G395,0,0,458,2,0,67,101,6,200,0,45
카페만나,C240,0,0,170,0,0,0,51,0,35,0,0
카페비상,C241,0,0,91,0,0,0,14,0,0,0,0
카페앤북스 24시,G396,0,0,0,0,148,316,179,0,271,0,0
카페오다,G397,0,0,34,0,5,0,13,0,2,0,4
카페율,C242,0,0,16,0,0,0,12,0,4,0,6
카페이비뎀,G398,0,0,46,0,0,13,17,0,0,0,0
카페인더박스,G399,0,0,246,0,19,56,43,0,107,1,33
카페인더박스,G400,0,0,54,0,6,2,7,0,1,0,6
카페인중독 경상대점,G401,0,0,0,0,0,0,0,0,0,0,0
카페인충전소,G402,0,0,0,0,0,0,0,0,0,0,0
카페칠암동,C243,0,0,48,0,3,7,15,0,18,0,2
카페커프티,G403,0,0,21,0,0,0,11,0,11,0,9
카페테리아 모디,C244,0,0,0,0,0,0,0,0,0,0,0
카페파머스 진주칠암점,C245,0,0,11,0,2,2,7,0,2,0,3
커피16,G404,0,0,124,0,24,13,22,1,20,1,20
커피대장 가호점,G405,0,0,157,0,0,30,34,0,41,0,0
커피플라워,G406,0,0,28,2,7,2,7,0,1,1,5
커피하우스,G407,0,0,92,0,0,24,30,0,0,0,0
커피홀베이커리 신진주역점,G408,0,0,190,0,75,12,44,0,7,3,19
컴포즈커피 진주경상대점,G409,0,0,426,0,130,0,60,0,0,0,0
컴포즈커피 진주경상대정문점,G410,0,0,409,0,189,0,159,0,0,0,65
컴포즈커피 진주칠암점,C246,0,0,648,0,222,92,188,4,32,8,130
컴포즈커피 진주호탄점,G411,0,0,45,0,8,0,16,0,12,0,0
컴포즈커피 진주호탄점,G412,0,0,0,0,0,0,0,0,0,0,0
케빈커피로스터스 칠암 직영점,C247,0,0,61,0,32,0,49,0,0,0,25
코리안덕 남진주점,C248,0,0,42,0,22,0,26,0,0,0,21
코코호도 산업대점,C249,20,4,193,91,74,1,59,51,2,10,18
코피치,C250,0,0,0,0,0,0,0,0,0,0,0
콩세상웰빙솥밥,C251,491,5,1379,790,550,199,532,166,607,0,396
쿄다이,C252,146,3,239,83,115,42,103,12,78,6,74
쿄오모덮밥,C253,0,0,71,0,20,0,24,0,0,0,0
쿄우라멘,C254,0,0,25,13,0,0,8,16,0,0,0
킹사이즈커피 신진주역점,G413,2,1,46,12,31,1,18,0,0,0,1
타짜오리하우스 진주점,C255,1,0,111,41,48,19,105,0,24,0,20
타코애타코야끼,G414,0,0,0,0,0,0,0,0,0,0,0
타코츠키 진주점,G415,6,0,29,16,11,0,0,0,0,0,0
탐나는피자 진주점,G416,0,1,173,149,60,5,116,100,23,9,49
탕화쿵푸마라탕 가좌동점,G417,0,0,423,0,0,0,87,0,131,0,0
태영생막창 신진주역점,G418,0,0,27,0,12,0,11,0,0,0,8
터틀디베이커리,G419,0,0,0,0,0,0,0,0,0,0,0
텐퍼센트커피 진주가좌점,G420,214,0,409,174,152,68,170,62,263,0,96
토르락,C256,0,0,132,0,91,0,29,36,0,0,0
톤톤,G421,37,0,104,29,107,2,27,45,0,0,18
통묵은지감자탕 경상대점,G422,0,0,0,0,0,0,0,0,0,0,0
통큰돼지국밥,G423,0,0,685,0,0,74,99,0,0,0,0
퇘장군식육축산,G424,0,0,234,0,0,0,27,0,50,0,0
투썸플레이스 진주경상대점,G425,8,1,54,5,26,0,19,0,2,1,3
투썸플레이스 진주역점,G426,1,0,97,113,70,4,40,20,14,0,16
튀김나라,C257,0,0,0,0,0,0,0,0,0,0,0
특돈,G427,0,0,18,3,8,0,1,0,0,0,0
특미집한식뷔페,C258,0,0,351,0,49,0,163,0,0,0,101
티바두마리치킨 진주가호점,G428,1,0,461,3,36,24,138,3,37,9,113
파리바게뜨 신진주역,G429,0,0,134,0,15,0,33,0,0,0,21
파리바게뜨 진주가좌점,G430,0,0,254,0,0,0,110,0,0,0,64
파리바게뜨 진주경상대점,G431,0,0,67,0,0,29,0,0,102,0,0
파리바게뜨 진주과기대점,C259,0,0,215,0,0,0,22,0,0,0,0
파리바게뜨 진주산업대점,C260,3,0,28,3,4,0,10,0,0,0,0
파머스,G432,2,4,156,39,47,3,66,29,1,2,27
파스쿠찌 경상국립대병원점,C261,0,0,12,0,0,3,0,0,8,0,0
팔도국밥 육수당 진주경상대점,G433,0,0,461,16,25,67,92,9,180,5,81
팔호통닭 호탄점,G434,0,0,109,0,0,0,26,0,0,0,0
퍼시먼,C262,0,0,257,172,198,0,100,0,0,0,0
페로어페로 진주가호점,G435,0,0,13,0,0,6,8,0,9,0,0
페퍼그라인더,C263,0,0,2362,800,0,0,891,751,1758,0,0
편백담 가좌점,G436,26,4,74,31,110,0,33,0,1,1,3
편식,C264,0,0,59,15,0,0,18,0,0,0,9
포에틱시너리 본점,G437,45,3,239,132,189,21,137,19,89,3,62
포차컵밥,G438,0,0,22,0,0,6,10,8,0,0,0
푸라닭 진주가좌점,G439,0,0,213,0,70,0,126,0,0,0,0
푸푸,C265,15,0,57,20,8,0,10,0,0,0,0
풍년상회,G440,0,0,28,0,0,0,6,0,0,0,5
프라하커피,C266,0,0,0,0,0,0,0,0,0,0,0
프랭크버거 진주경상대점,G441,0,0,0,0,0,0,0,0,0,0,0
프레커피,C267,3,0,22,4,8,0,0,6,0,0,0
플러스82 경상대점,G442,0,0,28,3,16,0,11,0,0,0,0
피나치공 진주가호점,G443,7,1,81,27,74,1,27,4,4,3,12
피앙세뷔페,C268,10,7,201,41,69,3,89,62,14,24,48
피자마루 경남과기대점,C269,0,0,53,0,0,0,16,0,0,0,0
피자스쿨 진주호탄점,G444,0,0,36,0,28,0,21,9,0,0,0
피자헛 진주경상대점,G445,0,0,36,24,19,0,8,0,0,0,0
피크앤파이,C270,0,0,268,130,100,0,73,0,0,0,0
하나로부대찌개,C271,32,0,167,0,101,0,45,0,0,0,0
하남샘추어탕,C272,0,0,9,8,7,0,5,0,0,0,0
하동돈가스,G446,0,0,101,0,28,9,26,0,6,1,16
하루,G447,0,0,367,0,154,0,107,0,0,0,53
하모수산,G448,0,0,14,0,0,7,0,0,8,0,0
하삼동커피 개양점,G449,0,0,302,0,0,0,85,0,0,0,80
하삼동커피 칠암점,C273,0,0,21,0,11,0,0,0,14,0,0
하싯코,G450,97,0,160,0,190,0,80,0,0,0,0
하이드파크,G451,64,0,95,0,91,0,24,0,0,0,0
한라맥주 경상대점,G452,4,0,10,5,6,0,6,0,0,0,0
한솥도시락 경남과기대점,C274,0,0,25,11,10,0,15,0,0,0,13
한솥도시락 진주경상대정문점,G453,0,0,0,0,0,0,0,0,0,0,0
한주반점,C275,0,0,7,9,10,0,0,0,0,0,0
할매충무김밥,G454,1,0,16,0,7,6,6,2,0,1,0
할멈국밥,C276,4,0,13,8,9,0,6,3,0,0,3
합천왕창국밥&왕창한우,G455,3,0,15,7,19,0,10,0,0,0,5
해가,C277,6,7,385,99,110,1,126,68,7,5,46
해동추어탕,C278,0,0,25,0,0,0,9,0,0,0,8
해물과곱창,G456,0,0,41,6,0,0,11,8,0,0,0
해송돌판닭찜 진주본점,G457,0,0,43,28,27,0,24,0,0,0,20
해쉬커피 진주센트럴웰가점,G458,0,108,611,441,74,91,289,167,223,55,127
해신궁,C279,4,0,395,221,292,12,150,150,86,37,126
해오,C280,0,0,0,0,0,0,0,0,0,0,0
해우 진주점,G459,0,0,143,3,12,37,43,1,51,1,15
해웅해물아구찜 신진주점,G460,0,0,49,0,2,26,16,1,33,0,10
행배,C281,0,0,183,3,18,11,44,1,33,0,30
허니커피,G461,0,0,14,7,5,0,0,11,0,0,0
헤르메스,G462,0,0,87,30,18,0,32,0,0,0,17
헤이브레드,G463,0,0,196,0,0,93,162,0,155,0,0
형님대패,G464,6,0,13,4,13,0,10,1,5,0,0
형제짬뽕,C282,0,0,306,200,0,0,151,0,137,0,0
혜하당,G465,0,0,246,0,19,56,43,0,107,1,33
혜화동 돈까스극장 진주가좌점,G466,0,0,5,0,2,1,4,0,1,1,1
호계,G467,120,6,679,294,239,59,235,80,207,24,188
호두당 호탄점,G468,0,0,367,160,0,0,196,178,177,0,0
호랑이쌀국수 진주점,G469,4,1,31,5,31,0,8,2,4,0,1
호랑타코,C283,1,2,47,9,8,1,15,43,5,2,12
호식이두마리치킨 호탄점,G470,5,3,366,179,220,21,133,114,20,27,45
호탄 숯불구이,G471,2,0,50,39,27,1,29,20,0,16,8
호탄곱도리탕,G472,0,0,465,183,189,0,152,0,142,0,0
호탄식육식당,G473,0,0,2646,1084,0,0,0,1742,1429,0,0
호호반점 진주경상대점,G474,21,0,54,31,0,0,17,0,0,0,0
홈리스타코,G475,36,0,118,22,44,0,34,0,0,0,0
홍가돼지국밥,G476,0,0,41,9,0,0,28,9,0,0,0
홍대김밥,G477,0,0,17,19,0,0,16,0,0,0,0
홍이네닭갈비,G478,0,0,0,0,0,0,0,0,0,0,0
홍이집 진주역직영점,G479,0,0,0,0,0,0,0,0,0,0,0
홍콩맥주,C284,0,0,94,0,0,54,67,0,58,0,0
홍콩반점0410 진주경상대점,G480,0,0,455,161,343,0,0,152,0,0,0
화양연화,G481,0,0,12,0,6,8,0,5,0,0,0
황토식당,C285,1,0,14,5,4,0,7,2,0,2,1
황포냉면,G482,29,13,763,159,385,0,106,306,20,82,93
회초랑,C286,0,2,22,13,8,0,6,3,0,0,2
효돈식당,G483,3,1,96,26,55,0,41,18,1,1,13
효주,G484,0,0,43,0,0,0,25,0,24,0,21
후라이드참잘하는집 가호점,G485,0,0,0,0,0,0,0,0,0,0,0
훗스테이크 진주경상대점,G486,7,0,123,36,100,2,55,3,3,3,16
흐루 가좌점,G487,0,0,46,0,39,0,19,17,0,0,0
흐루 칠암 본점,C287,0,0,100,0,0,0,39,0,76,0,0
희망커피,C288,6,3,881,57,133,254,377,63,579,0,226
히얼,C289,0,0,112,0,39,0,28,0,0,0,0
