rest,Rest_id,alone,date,delicious,fresh,goodValue,hygiene,kindness,many,mood,parking,recent
꼬밥,C30,21,0,49,15,21,0,24,0,0,0,0
꼴통막창,G62,0,0,0,0,0,0,0,0,0,0,0
꽃섬쌈밥,G63,0,0,0,0,0,0,0,0,0,0,0
꾸븐본점,G64,0,0,113,22,96,0,41,0,0,0,0
끄티식당,G65,44,20,231,45,58,9,81,12,44,3,49
나그네김밥,G66,14,0,24,8,28,1,18,3,2,1,3
나드리김밥 진주경상대학교병원점,C31,85,0,150,0,47,0,51,68,0,0,0
나봄식당,G67,0,0,37,19,13,4,12,2,0,0,7
나영이네 한식집,G68,5,0,10,4,4,0,5,0,0,0,0
나우커피 신진주역점,G69,0,0,0,0,0,0,0,0,0,0,0
나우커피 진주가좌점,G70,0,0,6,0,8,4,0,0,0,0,5
날마다 짬뽕,C32,0,0,40,17,13,0,24,9,0,0,0
남가람청국장마을,C33,3,0,107,53,51,0,34,9,3,1,4
남강숯불갈비,C34,0,0,30,13,0,0,11,9,0,0,0
남강회초밥,C35,0,0,10,0,6,0,5,0,0,0,0
남강횟집,C36,0,0,0,0,0,0,0,0,0,0,0
남매컵밥 과기대점,C37,569,0,963,271,656,0,334,0,0,0,0
남매컵밥 본점,G71,8,0,6,3,12,0,4,0,0,0,0
남촌손칼국시,C38,0,0,78,25,32,0,28,0,0,0,0
남해물회,C39,1,0,5,3,3,0,4,4,0,0,0
냉면장인 임사부&숯불구이,C40,0,0,0,0,0,0,0,0,0,0,0
노가네충무김밥 신진주역점,G72,5,0,14,5,3,0,5,0,0,0,0
노다지,C41,0,0,0,0,0,0,0,0,0,0,0
노랑통닭 가좌점,G73,0,0,0,0,0,0,0,0,0,0,0
노상,C42,0,0,41,0,18,0,10,8,0,0,0
놀부보쌈 놀부부대찌개 진주산업대점,C43,0,0,75,0,49,0,15,20,0,0,0
느리고 바르게,G74,0,0,0,0,0,0,0,0,0,0,0
니도,G75,0,0,192,105,0,0,107,0,95,0,0
다도해,G76,1,8,50,19,26,3,25,12,5,3,14
다드림 진주경상대점,G77,0,0,148,0,146,0,41,42,0,0,0
다유희,G78,0,0,0,0,0,0,0,0,0,0,0
단델리온,G79,0,0,406,9,49,12,186,0,17,6,73
단지네 가호점,G80,17,0,117,26,75,3,58,16,9,17,10
달곰김밥 호탄점,G81,62,0,267,84,105,1,99,4,4,5,15
달콤한향기,G82,0,0,6,0,2,0,3,0,0,0,0
닭사랑 춘천닭갈비,C44,0,0,19,0,16,0,6,4,0,0,0
닭장맥주 진주역점,G83,0,0,187,0,0,0,78,0,137,0,0
당신은지금치킨이땡긴다 경상대점,G84,0,0,23,11,17,0,12,0,0,0,0
대도해물탕,G85,0,4,51,22,15,1,6,3,1,0,0
대동식당,C45,0,0,0,0,0,0,0,0,0,0,0
대박족발,C46,0,0,16,4,11,0,4,1,1,1,1
대복갈비살,C47,0,0,59,28,0,0,33,0,0,0,14
대복식당,C48,5,0,30,10,4,0,7,0,0,0,0
대지식당,C49,4,0,84,57,32,4,69,31,22,1,34
대학로김밥,C50,15,0,26,8,6,0,17,0,0,0,0
대한회관,G86,0,0,19,21,14,0,13,4,3,0,11
대호분식,G87,6,0,13,1,9,0,7,0,1,0,0
더 카츠,G88,0,0,0,0,0,0,0,0,0,0,0
더김밥,G89,45,0,139,51,39,0,56,0,0,0,0
더만족 경상대점,G90,0,0,62,22,42,0,27,0,0,0,0
더벤티 신진주역점,G91,0,0,68,0,29,0,20,0,0,0,0
더벤티 진주과기대점,C51,0,0,40,0,18,0,10,0,0,0,0
더블에이,C52,0,0,0,0,0,0,0,0,0,0,0
더술,G92,0,0,12,0,3,0,3,5,0,0,0
더웨이닝커피 경상대점,G93,0,0,225,0,9,73,30,6,52,0,55
더웨이닝커피 진주바른병원점,C53,0,0,10,0,0,2,3,0,0,0,0
덮덮밥 칠암점,C54,0,0,0,0,0,0,0,0,0,0,0
데이원무인카페 진주역점,G94,0,0,0,0,0,0,0,0,0,0,0
델브리또 경상대본점,G95,143,1,318,72,383,0,97,64,6,2,17
도리명가 칠암본점,C55,3,1,78,24,35,0,32,11,8,12,21
도마,G96,0,0,0,0,0,0,0,0,0,0,0
도미노피자 진주경상대점,G97,7,7,246,64,66,1,76,15,18,50,44
도심속산장,C56,1,0,155,5,45,52,60,43,79,0,36
돈갈비,G98,4,4,104,80,63,0,55,64,9,6,52
돈스타무한리필 진주경상대점,G99,0,0,137,137,153,1,53,58,18,0,39
돈짝 호탄점,G100,2,3,51,22,49,0,32,37,4,4,11
동궁찜닭 진주경상대점,G101,0,0,777,237,389,0,180,291,0,0,0
동네커피 가호점,G102,0,0,265,0,33,49,68,0,60,2,48
동네커피 신진주역점,G103,0,0,68,0,0,0,14,0,0,0,0
동네커피 칠암점,C57,0,0,171,0,0,0,39,0,35,0,0
동백카츠 진주역점,G104,0,0,756,343,239,0,328,0,370,0,0
동아반점,C58,0,0,97,20,50,0,28,0,0,0,0
동향,G105,0,0,173,58,92,0,71,0,0,0,66
돼지랑 순대랑,G106,52,0,293,66,87,0,91,0,0,0,0
두스두스,G107,0,0,357,0,9,45,67,0,134,1,56
두찜 진주가호점,G108,1,0,22,3,12,0,4,1,2,0,0
뒷고기회관 가좌점,G109,0,0,44,0,49,0,17,16,0,0,0
